File	Value	MergeTest1_Creation	MergeTest2_DB
9e097b10-8160-491e-a310-e26e54a86a10/Track1.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track2.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track4.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track5.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track6.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track7.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track8.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track9.mp3	Rating	-1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track10.mp3	Rating	-1	0
	IdFirstFile	-1	1
	IdPath	-1	1
