File	Value	MergeTest4_JaMuz	MergeTest4_New
9e097b10-8160-491e-a310-e26e54a86a10/Track1.mp3	PlayCounter	0	1
9e097b10-8160-491e-a310-e26e54a86a10/Track2.mp3	Rating	0	1
9e097b10-8160-491e-a310-e26e54a86a10/Track2.mp3	LastPlayed	01/01/1970 00:00:00	06/03/2017 20:38:02
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	PlayCounter	0	2
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	Rating	0	2
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	AddedDate	06/03/2017 20:38:02	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track5.mp3	PlayCounter	1	2
9e097b10-8160-491e-a310-e26e54a86a10/Track5.mp3	AddedDate	26/04/2015 11:10:53	15/11/2012 15:15:15
9e097b10-8160-491e-a310-e26e54a86a10/Track6.mp3	PlayCounter	2	4
9e097b10-8160-491e-a310-e26e54a86a10/Track6.mp3	LastPlayed	01/01/1970 00:00:00	15/11/2012 15:15:15
9e097b10-8160-491e-a310-e26e54a86a10/Track8.mp3	PlayCounter	2	3
9e097b10-8160-491e-a310-e26e54a86a10/Track8.mp3	Rating	2	1
9e097b10-8160-491e-a310-e26e54a86a10/Track9.mp3	Rating	1	2
9e097b10-8160-491e-a310-e26e54a86a10/Track9.mp3	LastPlayed	15/11/2012 15:15:15	06/03/2017 20:38:02
9e097b10-8160-491e-a310-e26e54a86a10/Track10.mp3	PlayCounter	7	10
9e097b10-8160-491e-a310-e26e54a86a10/Track10.mp3	AddedDate	06/03/2017 20:38:02	15/11/2012 15:15:15
