File	Value	MergeTest4_New	MergeTest4_JaMuz
9e097b10-8160-491e-a310-e26e54a86a10/Track1.mp3	PlayCounter	1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track2.mp3	Rating	1	0
9e097b10-8160-491e-a310-e26e54a86a10/Track2.mp3	LastPlayed	06/03/2017 20:38:02	01/01/1970 00:00:00
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	PlayCounter	2	0
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	Rating	2	0
9e097b10-8160-491e-a310-e26e54a86a10/Track3.mp3	AddedDate	26/04/2015 11:10:53	06/03/2017 20:38:02
9e097b10-8160-491e-a310-e26e54a86a10/Track5.mp3	PlayCounter	2	1
9e097b10-8160-491e-a310-e26e54a86a10/Track5.mp3	AddedDate	15/11/2012 15:15:15	26/04/2015 11:10:53
9e097b10-8160-491e-a310-e26e54a86a10/Track6.mp3	PlayCounter	4	2
9e097b10-8160-491e-a310-e26e54a86a10/Track6.mp3	LastPlayed	15/11/2012 15:15:15	01/01/1970 00:00:00
9e097b10-8160-491e-a310-e26e54a86a10/Track8.mp3	PlayCounter	3	2
9e097b10-8160-491e-a310-e26e54a86a10/Track8.mp3	Rating	1	2
9e097b10-8160-491e-a310-e26e54a86a10/Track9.mp3	Rating	2	1
9e097b10-8160-491e-a310-e26e54a86a10/Track9.mp3	LastPlayed	06/03/2017 20:38:02	15/11/2012 15:15:15
9e097b10-8160-491e-a310-e26e54a86a10/Track10.mp3	PlayCounter	10	7
9e097b10-8160-491e-a310-e26e54a86a10/Track10.mp3	AddedDate	15/11/2012 15:15:15	06/03/2017 20:38:02
