File	Value	MergeDevice5_3	MergeDevice4_1stMerge
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	LastPlayed	04/05/2015 12:24:26	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	LastPlayed	04/05/2015 12:24:27	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	PlayCounter	12	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	LastPlayed	04/05/2015 12:24:28	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	LastPlayed	04/05/2015 12:24:29	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	AddedDate	05/05/2013 19:27:24	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	LastPlayed	04/05/2015 12:24:30	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	AddedDate	05/05/2013 19:27:25	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	Rating	4	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	AddedDate	05/05/2013 19:27:26	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	LastPlayed	04/05/2015 12:24:32	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	AddedDate	05/05/2013 19:27:27	05/05/2012 19:27:24
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	LastPlayed	04/05/2015 12:24:33	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	Rating	4	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	LastPlayed	04/05/2015 12:24:34	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	PlayCounter	4	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	LastPlayed	04/05/2015 12:24:35	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	LastPlayed	04/05/2015 12:24:36	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	LastPlayed	04/05/2015 12:24:37	01/01/1970 00:00:00
