File	Value	MergeDevice6_New	MergeDevice5_5
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	LastPlayed	24/05/2014 09:26:35	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	LastPlayed	24/05/2014 09:26:36	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	Rating	3	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	LastPlayed	24/05/2014 09:26:37	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	LastPlayed	24/05/2014 09:26:38	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	PlayCounter	3	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	LastPlayed	24/05/2014 09:26:39	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	Rating	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	PlayCounter	3	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	LastPlayed	24/05/2014 09:26:41	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	PlayCounter	4	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	LastPlayed	07/05/2015 17:53:51	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	LastPlayed	07/05/2015 17:53:52	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	LastPlayed	07/05/2015 17:53:53	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	PlayCounter	2	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	Rating	1	0
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	LastPlayed	24/05/2014 09:26:45	01/01/1970 00:00:00
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	LastPlayed	24/05/2014 09:26:46	01/01/1970 00:00:00
