File	Value	MergeDevice2_DB	MergeDevice3_JaMuz
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track2.mp3	Rating	0	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track3.mp3	Rating	0	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track4.mp3	Rating	0	4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	false	true
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track12.mp3	Rating	0	4
