File	Value	MergeDevice4_1stMerge	MergeDevice5_4
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track1.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track5.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track6.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	PlayCounter	0	3
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track7.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	PlayCounter	0	3
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track8.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track9.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track10.mp3	ignore	true	false
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	Rating	0	1
6cc35892-c44f-4aa7-bfee-5f63eca70821/Track11.mp3	ignore	true	false
